LABEL,CLASS_0,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,attractiveness,OBJECTID,GNIS_FEATU,FEATURE_NA,CTU_CLASS,COUNTY_GNI,COUNTY_COD,COUNTY_NAM,POPULATION,SHAPE_Leng,ORIG_FID,UNIQUE_ID,Shape_Length,Shape_Area,LABEL_1
UNIQU_963,0,8835,36932,41969,4755,10483,0.605786897663488,964,664232,Friberg,TOWNSHIP,659501,56,Otter Tail,836,38514.400366100002429,1805,963,38514.400366099878738,92680430.664627507328987,UNIQU_963
UNIQU_964,0,21623,26932,38620,7037,14601,0.538465992114913,965,664339,Greenfield,TOWNSHIP,659523,79,Wabasha,1332,47605.808635499997763,1375,964,47605.808635479013901,97946893.080182850360870,UNIQU_964
UNIQU_965,0,84,13817,82665,5436,24,0.917768019916492,966,664270,Gillford,TOWNSHIP,659523,79,Wabasha,512,38573.372346999996807,85,965,38573.372346984338947,91799777.872091904282570,UNIQU_965
UNIQU_966,0,1,0,155,889,0,0.999138755980861,967,2394272,Halstad,CITY,659499,54,Norman,565,5295.448515189999853,2558,966,5295.448515188520105,938711.128411349025555,UNIQU_966
UNIQU_967,0,605,849,14,27729,1867,0.905971542621684,968,2394826,Fridley,CITY,659447,02,Anoka,29962,31235.353751599999669,1589,967,31235.353751634891523,27947692.840974178165197,UNIQU_967
UNIQU_968,0,6030,5221,86541,5377,8501,0.847223067968120,969,664343,Greenleaf,TOWNSHIP,659492,47,Meeker,756,40221.845761899996432,534,968,40221.845761919881625,100525743.492045670747757,UNIQU_968
UNIQU_969,0,36,22,1447,542,0,0.977723497801661,970,2394899,Gilman,CITY,659450,05,Benton,219,8575.601758509999854,316,969,8575.601758510187210,1815157.446366292657331,UNIQU_969
UNIQU_970,0,30391,18691,22262,27725,4053,0.586707976959330,971,2394273,Ham Lake,CITY,659447,02,Anoka,16524,38549.392692100002023,839,970,38549.392692146953777,92816130.548878207802773,UNIQU_970
UNIQU_971,0,3,4,165,453,0,0.991840000000000,972,2394274,Hamburg,CITY,659455,10,Carver,571,6696.094010699999671,1401,971,6696.094010698211605,556671.253911231644452,UNIQU_971
UNIQU_972,0,17562,5333,73696,3227,2504,0.789785187936123,973,664378,Hamden,TOWNSHIP,659448,03,Becker,222,38403.007940700001200,1720,972,38403.007940723335196,92086346.071554943919182,UNIQU_972
UNIQU_973,0,9571,711,88723,3722,1026,0.902976299480497,974,664380,Hamlin,TOWNSHIP,659482,37,Lac qui Parle,153,38656.508547799996450,1541,973,38656.508547849982278,93371563.941561982035637,UNIQU_973
UNIQU_974,0,751,18954,65841,5439,493,0.862903648964778,975,664417,Haverhill,TOWNSHIP,659500,55,Olmsted,1528,51137.256950700000743,34,974,51137.256950712951948,82257156.559076815843582,UNIQU_974
